"Time","yolo-server-6b58946cb4-5922k / default / PKG","yolo-server-99847bd7d-pfn7h / default / PKG","yolo-server-6b58946cb4-5922k / default / DRAM","yolo-server-99847bd7d-pfn7h / default / DRAM","yolo-server-6b58946cb4-5922k / default / OTHER","yolo-server-99847bd7d-pfn7h / default / OTHER","yolo-server-6b58946cb4-5922k / default / GPU","yolo-server-99847bd7d-pfn7h / default / GPU"
2024-08-07 21:47:20,,0.205,,0,,0,,0
2024-08-07 21:47:30,,0.205,,0,,0,,0
2024-08-07 21:47:40,,7.84,,0,,0,,0
2024-08-07 21:47:50,,7.84,,0,,0,,0
2024-08-07 21:48:00,,7.84,,0,,0,,0
2024-08-07 21:48:10,,22.8,,0,,0,,0
2024-08-07 21:48:20,,22.8,,0,,0,,0
2024-08-07 21:48:30,,22.8,,0,,0,,0
2024-08-07 21:48:40,,23.6,,0,,0,,0
2024-08-07 21:48:50,,23.6,,0,,0,,0
2024-08-07 21:49:00,,23.6,,0,,0,,0
2024-08-07 21:49:10,,23.7,,0,,0,,0
2024-08-07 21:49:20,,23.7,,0,,0,,0
2024-08-07 21:49:30,,23.7,,0,,0,,0
2024-08-07 21:49:40,,24.5,,0,,0,,0
2024-08-07 21:49:50,,24.5,,0,,0,,0
2024-08-07 21:50:00,,24.5,,0,,0,,0
2024-08-07 21:50:10,,23.6,,0,,0,,0
2024-08-07 21:50:20,,23.6,,0,,0,,0
2024-08-07 21:50:30,,23.6,,0,,0,,0
2024-08-07 21:50:40,,24.5,,0,,0,,0
2024-08-07 21:50:50,,24.5,,0,,0,,0
2024-08-07 21:51:00,,24.5,,0,,0,,0
2024-08-07 21:51:10,,24.9,,0,,0,,0
2024-08-07 21:51:20,,24.9,,0,,0,,0
2024-08-07 21:51:30,,24.9,,0,,0,,0
2024-08-07 21:51:40,,24.1,,0,,0,,0
2024-08-07 21:51:50,,24.1,,0,,0,,0
2024-08-07 21:52:00,,24.1,,0,,0,,0
2024-08-07 21:52:10,,25.8,,0,,0,,0
2024-08-07 21:52:20,,25.8,,0,,0,,0
2024-08-07 21:52:30,,25.8,,0,,0,,0
2024-08-07 21:52:40,,24.6,,0,,0,,0
2024-08-07 21:52:50,,24.6,,0,,0,,0
2024-08-07 21:53:00,,24.6,,0,,0,,0
2024-08-07 21:53:10,,24.7,,0,,0,,0
2024-08-07 21:53:20,,24.7,,0,,0,,0
2024-08-07 21:53:30,,24.7,,0,,0,,0
2024-08-07 21:53:40,,25.5,,0,,0,,0
2024-08-07 21:53:50,,25.5,,0,,0,,0
